===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-10-25 16:39:34
count workspace : /Users/gaspard/git/lucidity
total files : 193
total code lines : 7959
total comment lines : 461
total blank lines : 753

src/blocks/editor/lib/utils/deleteSelection.test.ts, code is 150, comment is 3, blank is 8.
src/blocks/editor/lib/utils/deleteSelection.ts, code is 138, comment is 15, blank is 10.
src/blocks/editor/lib/utils/extractSelection.test.ts, code is 104, comment is 0, blank is 5.
src/blocks/editor/lib/utils/extractSelection.ts, code is 191, comment is 16, blank is 7.
src/blocks/editor/lib/utils/fuse.ts, code is 15, comment is 1, blank is 1.
src/blocks/editor/lib/utils/getAtPath.test.ts, code is 23, comment is 1, blank is 4.
src/blocks/editor/lib/utils/getAtPath.ts, code is 22, comment is 2, blank is 1.
src/blocks/editor/lib/utils/getNeighbours.test.ts, code is 49, comment is 1, blank is 5.
src/blocks/editor/lib/utils/getNeighbours.ts, code is 102, comment is 7, blank is 10.
src/blocks/editor/lib/utils/getPosition.test.ts, code is 15, comment is 1, blank is 3.
src/blocks/editor/lib/utils/getPosition.ts, code is 21, comment is 2, blank is 1.
src/blocks/editor/lib/utils/getSiblings.test.ts, code is 16, comment is 1, blank is 2.
src/blocks/editor/lib/utils/getSiblings.ts, code is 8, comment is 0, blank is 1.
src/blocks/editor/lib/utils/inSelection.test.ts, code is 75, comment is 1, blank is 5.
src/blocks/editor/lib/utils/inSelection.ts, code is 66, comment is 11, blank is 6.
src/blocks/editor/lib/utils/isParagraphStart.test.ts, code is 29, comment is 1, blank is 5.
src/blocks/editor/lib/utils/isParagraphStart.ts, code is 19, comment is 0, blank is 1.
src/blocks/editor/lib/utils/isTextBlock.test.ts, code is 37, comment is 0, blank is 3.
src/blocks/editor/lib/utils/isTextBlock.ts, code is 18, comment is 2, blank is 3.
src/blocks/editor/lib/utils/joinText.ts, code is 6, comment is 0, blank is 0.
src/blocks/editor/lib/utils/makeRef.ts, code is 4, comment is 0, blank is 1.
src/blocks/editor/lib/utils/mergeElements.ts, code is 247, comment is 28, blank is 12.
src/blocks/editor/lib/utils/newParagraph.ts, code is 24, comment is 0, blank is 2.
src/blocks/editor/lib/utils/rangeSelection.ts, code is 19, comment is 0, blank is 2.
src/blocks/editor/lib/utils/simplify.test.ts, code is 34, comment is 1, blank is 4.
src/blocks/editor/lib/utils/simplify.ts, code is 33, comment is 0, blank is 2.
src/blocks/editor/lib/utils/splitText.ts, code is 10, comment is 0, blank is 0.
src/blocks/editor/lib/utils/testUtils.ts, code is 118, comment is 10, blank is 6.
src/blocks/editor/lib/utils/trim.ts, code is 10, comment is 0, blank is 1.
src/blocks/editor/lib/utils/types.ts, code is 204, comment is 34, blank is 49.
src/blocks/error/index.ts, code is 12, comment is 1, blank is 1.
src/blocks/firebase/auth/chains/boot.ts, code is 58, comment is 1, blank is 4.
src/blocks/firebase/auth/chains/clearPrefs.ts, code is 22, comment is 0, blank is 4.
src/blocks/firebase/auth/chains/doSync.ts, code is 29, comment is 0, blank is 3.
src/blocks/firebase/auth/chains/logout.ts, code is 18, comment is 0, blank is 2.
